category,questionText,option1,option2,option3,option4,correctAnswer,equation
Geometry,"The diagonal of a square with side length 6 is:","6√2","12","6","3√2",0,"Side length = 6"
Calculus,"Find the limit: lim(x→2) (x² - 4)/(x - 2)","4","2","0","Does not exist",0,"lim(x→2) (x² - 4)/(x - 2)"
Calculus,"Evaluate: lim(x→0) sin(x)/x","0","1","-1","∞",1,"lim(x→0) sin(x)/x"
Calculus,"Find: lim(x→∞) (3x² + 2x)/(x² - 1)","3","0","∞","2",0,"lim(x→∞) (3x² + 2x)/(x² - 1)"
Calculus,"Calculate: lim(x→1) (x³ - 1)/(x - 1)","1","3","0","2",1,"lim(x→1) (x³ - 1)/(x - 1)"
Calculus,"Find: lim(h→0) [(3+h)² - 9]/h","6","3","9","0",0,"lim(h→0) [(3+h)² - 9]/h"
Calculus,"Evaluate: lim(x→0) (1 - cos(x))/x²","1/2","0","1","∞",0,"lim(x→0) (1 - cos(x))/x²"
Calculus,"Find: lim(x→∞) (2x³ - x)/(x³ + 1)","2","1","0","∞",0,"lim(x→∞) (2x³ - x)/(x³ + 1)"
Calculus,"Calculate: lim(x→4) (√x - 2)/(x - 4)","1/4","1/2","0","∞",0,"lim(x→4) (√x - 2)/(x - 4)"
Calculus,"Find: lim(x→0) tan(x)/x","1","0","∞","-1",0,"lim(x→0) tan(x)/x"
Calculus,"Evaluate: lim(x→-2) (x² + 3x + 2)/(x + 2)","-1","1","0","∞",0,"lim(x→-2) (x² + 3x + 2)/(x + 2)"
Calculus,"∫cos⁻¹(2x) dx , What is the best choice for u and dv here?","u = cos⁻¹(x) and dv = dx","u = 1 and dv = cos⁻¹(2x)dx","u = cos⁻¹(x) and dv = 2dx","u = cos⁻¹(2x) and dv = dx",3,"∫cos⁻¹(2x) dx"
Calculus,"What is ∫sinx dx?","-cosx + C","cosx + C","cosxsinx + C","-sinx + C",0,"∫sinx dx"
Calculus,"What trigonometric function(s) should be present to use the Wallis Formula?","sinxcosx","secxtanx","cscxcotx","tanxsinx",0,"∫ sinⁿ(x) cosᵐ(x) dx"
Calculus,"Evaluate ∫15x²⁹cosx¹⁵ dx","x¹⁵sinx¹⁵ + cosx¹⁵ + C","x¹⁵sinx¹⁵-cosx¹⁵ + C","x¹⁶sinx¹⁴ + cosx¹⁴ + C","x²⁹sinx¹⁵ + cosx¹⁵ + C",0,"∫15x²⁹cosx¹⁵ dx"
Calculus,"Evaluate: ∫(3x+1)/(6x²-14x-12) dx","5/11 ln|2x-6| + 1/22 ln|3x+2| + C","2/7 ln|6x-2| + 1/6 ln|x+6| + C","5/7 ln|3x-4| - 3/5 ln|2x+3| + C","(ln|6x²-14x-12|)/4 + C",0,"∫(3x+1)/(6x²-14x-12)"
Algebra,"Leah is 6 years older than Sue, John is 5 years older than Leah, and the total of their ages is 41. How old is Sue?","8","10","14","19",0,"(s+6)+5 = s+11"
Algebra,"Alfred wants to invest $4,000 at 6% simple interest rate for five years. How much interest will he receive?","$240","$480","$720","$1,200",3,"I = Prt"
Algebra,"If r = 5z and 15z = 3y then r = ?","y","2y","4y","10y",0,"r=5z"
Algebra,"If 300 jelly beans cost you x dollars how many jelly beans can you purchase for 50 cents at the same rate?","150/x","150x","6x","1500/x",0,"300/x * 1/2 = 150/x"
Algebra,"If 8x+5x+2x+4x=114 then 5x+3= ?","12","25","33","47",2,"5(6)+3 = 33"
Geometry,"A rectangle has a length of 12 meters and a width of 4 meters. What is its perimeter?","16 meters","32 meters","48 meters","64 meters",1,"Perimeter = 2 * (length + width)"
Geometry,"Two interior angles of triangle measure 50° and 70°. What is the measure of the third angle?","60°","80°","90°","120°",0,"180°-(50°+70°) = 180°-120° = 60°"
Geometry,"What is the circumference of a circle that has a diameter of 10 centimeters?","15.7cm","31.4cm","62.8cm","78.5cm",1,"Circumference = pi * diameter"
Geometry,"A triangle has a base of 6 centimeters and a height of 10 centimeters. What is the area of the triangle?","16 square centimeters","30 square centimeters","60 square centimeters","12 square centimeters",1,"Area = 1/2 * base * height"
Geometry,"A right-angled triangle has two shorter sides (legs) measuring 3 centimeters and 4 centimeters. What is the length of the longest side (the hypotenuse)?","5cm","7cm","12cm","25cm",0,"a²+b²=c²"
